model_source,model_eval,dataset,data_idx,cliff_position,taxonomy_type,n_cliff_tokens,cpm_source,cpm_eval,delta_cpm
Qwen3-8B,Qwen3-0.6B,math500,test/number_theory/737.json_path_0,578,DF,14,1.0000000000023346,0.999999948610749,-5.139158554268164e-08
Qwen3-8B,Qwen3-0.6B,math500,test/number_theory/737.json_path_0,580,AG,3,0.8175743256650808,0.7979844639992729,-0.019589861665807895
Qwen3-8B,Qwen3-0.6B,math500,test/number_theory/737.json_path_0,582,DF,17,1.0000000002080405,0.9999987386869829,-1.2615210576161218e-06
Qwen3-8B,Qwen3-0.6B,math500,test/number_theory/737.json_path_0,586,DF,13,0.9999996053929979,0.9998827937219842,-0.00011681167101373902
Qwen3-8B,Qwen3-0.6B,math500,test/number_theory/737.json_path_0,589,DF,2,0.9999997615893909,0.9999974243140303,-2.337275360586588e-06
Qwen3-8B,Qwen3-0.6B,math500,test/number_theory/737.json_path_0,594,DF,5,1.0000000000009561,0.9999998839831018,-1.1601785432358014e-07
Qwen3-8B,Qwen3-0.6B,math500,test/number_theory/737.json_path_0,597,DF,2,1.0000000000000202,1.0,-2.020605904817785e-14
Qwen3-8B,Qwen3-0.6B,math500,test/number_theory/737.json_path_0,604,DF,2,1.0000000000000997,1.0000000012501529,1.2500531720860408e-09
Qwen3-8B,Qwen3-0.6B,math500,test/number_theory/737.json_path_0,609,DF,9,1.0000000000013027,0.9999996487602476,-3.5124105512984727e-07
Qwen3-8B,Qwen3-0.6B,math500,test/number_theory/737.json_path_0,613,DF,3,1.0000000000027365,1.0000000525144366,5.2511700099344694e-08
Qwen3-8B,Qwen3-0.6B,math500,test/number_theory/737.json_path_0,617,DF,3,1.0000000002172444,0.9999992100756635,-7.901415809419277e-07
Qwen3-8B,Qwen3-0.6B,math500,test/number_theory/737.json_path_0,627,DF,1,1.0,1.0,0.0
Qwen3-8B,Qwen3-0.6B,math500,test/number_theory/737.json_path_0,633,DF,7,0.999964596109668,0.9998833261647204,-8.126994494761508e-05
Qwen3-8B,Qwen3-0.6B,math500,test/number_theory/737.json_path_0,639,DF,8,0.99999349816736,0.9962722097796851,-0.003721288387674937
Qwen3-8B,Qwen3-0.6B,math500,test/number_theory/737.json_path_0,641,DF,19,1.000000000932684,0.999999935440142,-6.549254194521126e-08
Qwen3-8B,Qwen3-0.6B,math500,test/number_theory/737.json_path_0,642,DF,1,0.9999599472811979,0.9989765638849637,-0.000983383396234161
Qwen3-8B,Qwen3-0.6B,math500,test/number_theory/737.json_path_0,644,DF,3,1.0000000000000215,0.9999566099194607,-4.3390080560867794e-05
Qwen3-8B,Qwen3-0.6B,math500,test/number_theory/737.json_path_0,651,DF,3,0.9999994039728974,0.9998767527862662,-0.00012265118663123964
Qwen3-8B,Qwen3-0.6B,math500,test/number_theory/737.json_path_0,656,DF,1,1.0,0.9999572056975242,-4.279430247577931e-05
Qwen3-8B,Qwen3-0.6B,math500,test/number_theory/737.json_path_0,678,DF,7,1.0000000014758965,0.9999983198662722,-1.6816096243266188e-06
Qwen3-8B,Qwen3-0.6B,math500,test/number_theory/737.json_path_0,691,DF,11,0.9999998800248585,0.9999593169960489,-4.056302880961482e-05
Qwen3-8B,Qwen3-0.6B,math500,test/number_theory/737.json_path_0,692,AG,9,0.8815625656525566,0.7763589422872725,-0.1052036233652841
Qwen3-8B,Qwen3-0.6B,math500,test/number_theory/753.json_path_0,78,DF,1,1.0,0.9999902249342363,-9.77506576371745e-06
Qwen3-8B,Qwen3-0.6B,math500,test/number_theory/753.json_path_0,141,AG,3,0.7999512873952301,0.5428913189543413,-0.25705996844088885
Qwen3-8B,Qwen3-0.6B,math500,test/precalculus/1172.json_path_0,708,SS,6,0.5504390722999691,0.21031197268055937,-0.3401270996194098
Qwen3-8B,Qwen3-0.6B,math500,test/precalculus/1172.json_path_0,963,DF,4,1.0000000009858567,0.9999223112320839,-7.768975377286935e-05
Qwen3-8B,Qwen3-0.6B,math500,test/precalculus/1172.json_path_0,1109,SS,2,0.31715029376743525,0.9700117522378767,0.6528614584704415
Qwen3-8B,Qwen3-0.6B,math500,test/precalculus/1313.json_path_0,544,DF,2,1.0000000001493095,0.999950835320546,-4.916482876349271e-05
Qwen3-8B,Qwen3-0.6B,math500,test/precalculus/1313.json_path_0,562,SS,1,0.09725955055270319,0.09010150688782245,-0.007158043664880737
Qwen3-8B,Qwen3-0.6B,math500,test/precalculus/1313.json_path_0,683,DF,6,1.000000000004135,0.9999920278263726,-7.972177762272104e-06
Qwen3-8B,Qwen3-0.6B,math500,test/precalculus/1313.json_path_0,1278,AG,1,0.4327581937797684,0.5727795111407875,0.14002131736101914
Qwen3-8B,Qwen3-0.6B,math500,test/precalculus/285.json_path_0,923,SS,1,0.276790295550625,0.005355986626621541,-0.27143430892400344
Qwen3-8B,Qwen3-0.6B,math500,test/precalculus/285.json_path_0,1025,SS,3,0.24531583203539872,0.7220457462554888,0.47672991422009003
Qwen3-8B,Qwen3-0.6B,math500,test/precalculus/681.json_path_0,68,SS,2,0.31345203985722414,0.16845795966207477,-0.14499408019514937
Qwen3-8B,Qwen3-0.6B,math500,test/precalculus/990.json_path_0,103,AG,1,0.875921839828914,0.4567760444234302,-0.4191457954054838
